Commodity,EXPORTS (kg/yr),FINAL_DEMAND
Acetaminophen,3459981.431,49000000
Acetic_Anhydride,60405345.61,123000000
Para-aminophenol,74093.95,40000000
Acetone,73938849,327000000
Hydrogen_SMR,1719433.8,10000000000
Nitrobenzene,1075370.769,1390000000
Acetic_acid,615304063.8,635000000
Benzene,37938450.6,12000000000
Iso_propanol,197204135.9,295000000
Methane,29549444960,633000000000
Nitric_acid,32638565.71,1800000000
Sulphuric_acid,260773316.7,16000000000
Ammonia,96826320,17500000000
Naphtha,7334937305,5360000000
Methanol,1417266888,3400000000
Propene,676935985.4,16000000000
