,Acetaminophen,ACETANH,PAP,ACETONE,H2 (SMR),NB,ACETACID,BENZENE,IPA,METHANE,NITACID,SULFACID,AMMONIA,PETROFRAC,METHANOL,PROPENE,ROE,EXPORTS,FINAL_DEMAND,WASTE
Acetaminophen,67627.006,3097294.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399936.8463,4397955.738,7352475.71,25268710
ACETANH,3789279.435,0,0,0,471994.716,0,0,187497.901,0,0,60492.231,0,174812.474,0,130743.226,0,999747528.7,56206731.05,10677454.43,40792171.32
PAP,6249999.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522421267,1579514.823,10283778.47,262013520
ACETONE,0,494029837.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4285599711,66018489.66,6720599.113,652131293.4
H2 (SMR),0,0,233243.203,0,25348767570,0,11766128.03,0,0,0,679149.327,0,11404202.33,0,2305886784,2281805910,1.55549E+11,95691097.59,145020235.9,8495115.03
NB,0,0,122387408.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1373015109,1075260.146,7391648.972,2892769438
ACETACID,12029217.72,550934231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355791820,606491850.8,110622886,51472785
BENZENE,0,0,31213.925,0,0,962447533.6,0,0,0,0,90887.605,0,1526174.867,0,5850060.757,305364174.6,35017475464,3660000872,2482374649,13981908
IPA,0,0,0,495944280.9,0,0,0,0,0,0,0,0,0,0,0,0,36526304236,177898010.8,5568363.277,881043658.3
METHANE,0,0,0,0,4036938225,0,0,15234734.94,0,0,5821108.588,0,14204008.09,0,355459127.3,2291693656,1.61858E+12,1624174942,235590339.4,4464837.15
NITACID,0,0,0,0,0,755703369.5,0,0,0,0,57431379180,27060.126,0,0,0,0,6.27514E+11,31708424.55,69093481.25,40253624.08
SULFACID,0,0,33733106.26,0,0,994685490.5,0,0,875786167.2,0,0,0,0,0,0,0,1.67183E+11,143736830.1,244430464.1,458796748
AMMONIA,0,0,117970018.2,0,0,0,0,0,0,0,1780673161,0,14033140301,0,0,0,4.63207E+11,79990215.23,87937462.95,211780780
PETROFRAC,0,0,0,0,172834342.8,0,0,68657710.25,22407547948,0,28454820.56,0,64012578.83,0,47875365.31,34759630373,2.71606E+13,32267298578,24540293182,26839742.58
METHANOL,0,0,0,0,0,0,1198266477,0,0,0,0,0,0,0,0,0,8001653753,916878443.2,20398826.63,19802000
PROPENE,0,0,5854400.412,0,0,0,0,0,8999436835,0,17046636.5,0,286245283.4,0,1097221777,57273289296,3.16022E+13,664964309.2,30100213.79,23441141.11
ROE,16728000,0,1470028080,4954734012,1.55301E+11,851720352,823353597.5,42024651510,4857413103,1.60627E+12,6.26093E+11,1.69043E+11,4.64481E+11,2.72227E+13,6103389895,3.15732E+13,0,87152648692,64223165494,0
IMPORTS,1719876.101,64177342.54,52310609.22,53821637.87,898684972.2,832082118.9,653956588.3,340411485.9,946574496.5,20885631176,484781924.5,891612393.4,626778861.8,52317837660,241185747.6,459852589.2,1238869658,68728838997,6834563477,
SLACK,,,,,,,,,,,,,,,,,1.44411E+11,,,
